Locustag	Gene	FeatureType	Description
ECB_03324	acpT	CDS	holo-(acyl carrier protein) synthase 2
ECB_03325	nikA	CDS	nickel transporter subunit
ECB_03326	nikB	CDS	nickel transporter subunit
ECB_03327	nikC	CDS	nickel transporter subunit
ECB_03328	nikD	CDS	nickel transporter subunit
ECB_03329	nikE	CDS	nickel transporter subunit
ECB_03330	nikR	CDS	nickel responsive regulator
ECB_03331	rhsB	CDS	rhsB element core protein RshB
ECB_03332	yhhH	CDS	hypothetical protein
ECB_03334	yhhI	CDS	predicted transposase
ECB_03335	yhhJ	CDS	predicted transporter subunit: membrane component of ABC superfamily
ECB_03336	yhiH	CDS	fused ribosome-associated ATPase: ATP-binding protein/ATP-binding protein/predicted membrane protein
ECB_03337	yhiI	CDS	predicted HlyD family secretion protein
ECB_03338	yhiJ	CDS	hypothetical protein
ECB_03339	yhiKL	CDS	hypothetical protein
ECB_03340	yhiM	CDS	conserved inner membrane protein
ECB_03341	yhiN	CDS	predicted oxidoreductase with FAD/NAD(P)-binding domain
ECB_03342	pitA	CDS	phosphate transporter, low-affinity
ECB_03343	yhiO	CDS	universal stress protein UspB
ECB_03344	uspA	CDS	universal stress global response regulator
ECB_03345	yhiP	CDS	predicted transporter
ECB_03346	yhiQ	CDS	predicted SAM-dependent methyltransferase
ECB_03347	prlC	CDS	oligopeptidase A
ECB_03348	yhiR	CDS	predicted DNA (exogenous) processing protein
ECB_03349	gor	CDS	glutathione reductase
ECB_03350	arsR	CDS	DNA-binding transcriptional repressor
ECB_03351	arsB	CDS	arsenite/antimonite transporter
ECB_03352	arsC	CDS	arsenate reductase
ECB_03353	yhiS	CDS	hypothetical protein
ECB_03354	slp	CDS	outer membrane lipoprotein
ECB_03355	yhiF	CDS	predicted DNA-binding ranscriptional regulator
ECB_03356	yhiD	CDS	predicted Mg(2+) transport ATPase inner membrane protein
ECB_03357	hdeB	CDS	acid-resistance protein
ECB_03358	hdeA	CDS	stress response protein acid-resistance protein
ECB_03359	hdeD	CDS	acid-resistance membrane protein
ECB_03360	yhiE	CDS	DNA-binding transcriptional activator
ECB_03361	yhiU	CDS	multidrug resistance efflux transporter
ECB_03362	yhiV	CDS	multidrug transporter, RpoS-dependent
ECB_03363	yhiW	CDS	DNA-binding transcriptional activator
ECB_03364	gadX	CDS	DNA-binding transcriptional dual regulator
ECB_03365	gadA	CDS	glutamate decarboxylase A, PLP-dependent
ECB_03366	yhjA	CDS	predicted cytochrome C peroxidase
ECB_03367	treF	CDS	cytoplasmic trehalase
ECB_03368	yhjB	CDS	predicted DNA-binding response regulator in two-component regulatory system
ECB_03369	yhjC	CDS	predicted DNA-binding transcriptional regulator
ECB_03370	yhjD	CDS	conserved inner membrane protein
ECB_03371	yhjE	CDS	predicted transporter
ECB_03372	yhjG	CDS	predicted outer membrane biogenesis protein
ECB_03373	yhjH	CDS	EAL domain containing protein involved in flagellar function
ECB_03374	kdgK	CDS	ketodeoxygluconokinase
ECB_03375	yhjJ	CDS	predicted zinc-dependent peptidase
ECB_03376	dctA	CDS	C4-dicarboxylate transport protein
ECB_03377	yhjK	CDS	predicted diguanylate cyclase
ECB_03378	bcsC	CDS	cellulose synthase subunit
ECB_03379	bcsZ	CDS	endo-1,4-D-glucanase
ECB_03380	yhjN	CDS	regulator of cellulose synthase, cyclic di-GMP binding
ECB_03381	yhjO	CDS	cellulose synthase, catalytic subunit
ECB_03383	yhjR	CDS	hypothetical protein
ECB_03384	yhjS	CDS	hypothetical protein
ECB_03385	yhjT	CDS	hypothetical protein
ECB_03386	yhjU	CDS	predicted inner membrane protein
ECB_03387	ldrD	CDS	toxic polypeptide, small
ECB_03388	ldrE	CDS	toxic polypeptide, small
ECB_03389	ldrF	CDS	toxic polypeptide, small
ECB_03390	yhjV	CDS	predicted transporter
ECB_03391	dppF	CDS	dipeptide transporter
ECB_03392	dppD	CDS	dipeptide transporter
ECB_03393	dppC	CDS	dipeptide transporter
ECB_03394	dppB	CDS	dipeptide transporter
ECB_03395	dppA	CDS	dipeptide transporter
ECB_03396	yhjW	CDS	predicted metal dependent hydrolase
ECB_03397	yhjX	CDS	predicted transporter
ECB_03398	yhjY	CDS	hypothetical protein
ECB_03399	tag	CDS	3-methyl-adenine DNA glycosylase I, constitutive
ECB_03400	yiaC	CDS	predicted acyltransferase with acyl-CoA N-acyltransferase domain
ECB_03401	bisC	CDS	biotin sulfoxide reductase
ECB_03402	yiaD	CDS	predicted outer membrane lipoprotein
ECB_03403	tkrA	CDS	2-ketoaldonate reductase/glyoxylate reductase B
ECB_03404	yiaF	CDS	hypothetical protein
ECB_03405	yiaG	CDS	predicted transcriptional regulator
ECB_03406	cspA	CDS	major cold shock protein
ECB_03407	hokA	CDS	toxic polypeptide, small
ECB_03408	insJ-4	CDS	IS150 hypothetical protein
ECB_03409	insK-4	CDS	IS150 putative transposase
ECB_03410	glyS	CDS	glycyl-tRNA synthetase subunit beta
ECB_03411	glyQ	CDS	glycyl-tRNA synthetase subunit alpha
ECB_03412		CDS	hypothetical protein
ECB_03413	yiaH	CDS	conserved inner membrane protein
ECB_03414	yiaA	CDS	conserved inner membrane protein
ECB_03415	yiaB	CDS	conserved inner membrane protein
ECB_03416	xylB	CDS	xylulokinase
ECB_03417	xylA	CDS	xylose isomerase
ECB_03418	xylF	CDS	D-xylose transporter subunit
ECB_03420	xylH	CDS	D-xylose transporter subunit
ECB_03421	xylR	CDS	DNA-binding transcriptional activator, xylose-binding
ECB_03422	bax	CDS	hypothetical protein
ECB_03423	malS	CDS	periplasmic alpha-amylase precursor
ECB_03424	avtA	CDS	valine-pyruvate transaminase
ECB_03425	yiaI	CDS	predicted hydrogenase, 4Fe-4S ferredoxin-type component
ECB_03426	yiaJ	CDS	predicted DNA-binding transcriptional repressor
ECB_03427	yiaK	CDS	2,3-diketo-L-gulonate dehydrogenase, NADH-dependent
ECB_03428	yiaL	CDS	hypothetical protein
ECB_03429	yiaM	CDS	predicted transporter
ECB_03430	yiaN	CDS	predicted transporter
ECB_03431	yiaO	CDS	predicted transporter
ECB_03432	lyxK	CDS	L-xylulose kinase
ECB_03433	sgbH	CDS	3-keto-L-gulonate 6-phosphate decarboxylase
ECB_03434	sgbU	CDS	predicted L-xylulose 5-phosphate 3-epimerase
ECB_03435	sgbE	CDS	L-ribulose-5-phosphate 4-epimerase
ECB_03436		CDS	putative regulatory protein
ECB_03437		CDS	putative permease
ECB_03438		CDS	conserved hypothetical protein
ECB_03439	yiaT	CDS	hypothetical protein
ECB_03440	yiaU	CDS	predicted DNA-binding transcriptional regulator
ECB_03441	yiaV	CDS	membrane fusion protein (MFP) component of efflux pump, signal anchor
ECB_03442	yiaW	CDS	conserved inner membrane protein
ECB_03443	aldB	CDS	aldehyde dehydrogenase B
ECB_03444	yiaY	CDS	predicted Fe-containing alcohol dehydrogenase
ECB_03445	selB	CDS	selenocysteinyl-tRNA-specific translation factor
ECB_03446	selA	CDS	selenocysteine synthase
ECB_03447	yibF	CDS	predicted glutathione S-transferase
ECB_03448	rhsA	CDS	rhsA element core protein RshA
ECB_03449	yibA	CDS	lyase containing HEAT-repeat protein
ECB_03450	yibJ	CDS	predicted Rhs-family protein
ECB_03451	yibG	CDS	hypothetical protein
ECB_03452	yibH	CDS	hypothetical protein
ECB_03453	yibI	CDS	predicted inner membrane protein
ECB_03454	mtlA	CDS	fused mannitol-specific PTS enzymes: IIA components/IIB components/IIC components
ECB_03455	mtlD	CDS	mannitol-1-phosphate 5-dehydrogenase
ECB_03456	mtlR	CDS	DNA-binding repressor
ECB_03457		CDS	hypothetical protein
ECB_03458	yibL	CDS	hypothetical protein
ECB_03459		CDS	conserved hypothetical protein
ECB_03460		CDS	putative adhesin
ECB_03461	lldP	CDS	L-lactate permease
ECB_03462	lldR	CDS	DNA-binding transcriptional repressor
ECB_03463	lldD	CDS	L-lactate dehydrogenase, FMN-linked
ECB_03464	yibK	CDS	predicted rRNA methylase
ECB_03465	cysE	CDS	serine acetyltransferase
ECB_03466	gpsA	CDS	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
ECB_03467	secB	CDS	export protein SecB
ECB_03468	grxC	CDS	glutaredoxin 3
ECB_03469	yibN	CDS	predicted rhodanese-related sulfurtransferase
ECB_03470	yibO	CDS	phosphoglyceromutase
ECB_03471	yibP	CDS	protease with a role in cell division
ECB_03472	yibQ	CDS	predicted polysaccharide deacetylase
ECB_03473	yibD	CDS	predicted glycosyl transferase
ECB_03474	tdh	CDS	L-threonine 3-dehydrogenase
ECB_03475	kbl	CDS	2-amino-3-ketobutyrate coenzyme A ligase
ECB_03476	gumD	CDS	ADP-L-glycero-D-mannoheptose-6-epimerase, NAD(P)-binding
ECB_03477	waaF	CDS	ADP-heptose:LPS heptosyltransferase II
ECB_03478	waaC	CDS	ADP-heptose:LPS heptosyl transferase I
ECB_03479	waaL	CDS	Lipid A-core, surface polymer ligase
ECB_03480	waaV	CDS	putative beta1,3-glucosyltransferase
ECB_03481	waaW	CDS	UDP-galactose:(Galactosyl) LPS alpha1,2-galactosyltransferase
ECB_03482	waaY	CDS	WaaY protein, involved in phospohrylation of core oligosaccharide heptose
ECB_03484	insB-24	CDS	IS1 protein InsB
ECB_03485	insA-24	CDS	IS1 protein InsA
ECB_03486	waaO	CDS	UDP-glucose:(Glucosyl) LPS alpha1,3-glucosyltransferase WaaO
ECB_03487	waaP	CDS	kinase that phosphorylates core heptose of lipopolysaccharide
ECB_03488	waaG	CDS	glucosyltransferase I
ECB_03489	waaQ	CDS	lipopolysaccharide core biosynthesis protein
ECB_03490	waaA	CDS	3-deoxy-D-manno-octulosonic-acid transferase
ECB_03491	coaD	CDS	phosphopantetheine adenylyltransferase
ECB_03492	mutM	CDS	formamidopyrimidine-DNA glycosylase
ECB_03493	rpmG	CDS	50S ribosomal protein L33
ECB_03494	rpmB	CDS	50S ribosomal protein L28
ECB_03495	radC	CDS	DNA repair protein RadC
ECB_03496	dfp	CDS	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase
ECB_03497	dut	CDS	deoxyuridine 5'-triphosphate nucleotidohydrolase
ECB_03498	slmA	CDS	nucleoid occlusion protein
ECB_03499	pyrE	CDS	orotate phosphoribosyltransferase
ECB_03500	rph	CDS	ribonuclease PH
ECB_03501	yicC	CDS	hypothetical protein
ECB_03502	dinD	CDS	DNA-damage-inducible protein
ECB_03503	yicG	CDS	conserved inner membrane protein
ECB_03504	yicF	CDS	NAD-dependent DNA ligase LigB
ECB_03505	gmk	CDS	guanylate kinase
ECB_03506	rpoZ	CDS	DNA-directed RNA polymerase subunit omega
ECB_03507	spoT	CDS	bifunctional (p)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase
ECB_03508	trmH	CDS	tRNA (Guanosine-2'-O-)-methyltransferase
ECB_03509	recG	CDS	ATP-dependent DNA helicase
ECB_03510		CDS	conserved hypothetical protein
ECB_03511	gltS	CDS	glutamate transporter
ECB_03512	yicE	CDS	predicted transporter
ECB_03513	yicH	CDS	hypothetical protein
ECB_03514	yicI	CDS	predicted alpha-glucosidase
ECB_03515	yicJ	CDS	predicted transporter
ECB_03516		CDS	Int
ECB_03517		CDS	ShiA-like protein
ECB_03518		CDS	conserved hypothetical protein
ECB_03519		CDS	putative transcriptional regulator
ECB_03520		CDS	conserved hypothetical protein
ECB_03521		CDS	conserved hypothetical protein
ECB_03522		CDS	Single-strand binding protein (SSB) (Helix-destabilizing protein)
ECB_03523		CDS	TrbC-like protein
ECB_03524		CDS	transposase
ECB_03525		CDS	conserved hypothetical protein
ECB_03526		CDS	hypothetical protein
ECB_03527		CDS	hypothetical protein
ECB_03530		CDS	hypothetical protein
ECB_03531		CDS	hypothetical protein
ECB_03532		CDS	hypothetical protein
ECB_03533		CDS	hypothetical protein
ECB_03534		CDS	hypothetical protein
ECB_03535	ykgN	CDS	predicted IS protein
ECB_03536	insI	CDS	IS30 transposase
ECB_03537		CDS	putative uncharacterized protein, yeeV-like protein
ECB_03538		CDS	conserved hypothetical protein
ECB_03539		CDS	Aec78
ECB_03540		CDS	conserved hypothetical protein
ECB_03541		CDS	conserved hypothetical protein
ECB_03542	yicK	CDS	predicted sugar efflux system
ECB_03543	yicL	CDS	predicted inner membrane protein
ECB_03544	nlpA	CDS	cytoplasmic membrane lipoprotein-28
ECB_03545		CDS	hypothetical protein
ECB_03546	yicM	CDS	predicted transporter
ECB_03547	yicN	CDS	hypothetical protein
ECB_03548	yicO	CDS	predicted xanthine/uracil permase
ECB_03549	ade	CDS	cryptic adenine deaminase
ECB_03550	uhpT	CDS	sugar phosphate antiporter
ECB_03551	uhpC	CDS	membrane protein regulates uhpT expression
ECB_03552	uhpB	CDS	sensory histidine kinase in two-component regulatory sytem with UhpA
ECB_03553	uhpA	CDS	DNA-binding response regulator in two-component regulatory system wtih UhpB
ECB_03554	ilvN	CDS	acetolactate synthase small subunit
ECB_03555	ilvB	CDS	acetolactate synthase large subunit
ECB_03556	ivbL	CDS	ilvB operon leader peptide
ECB_03557	emrD	CDS	multidrug efflux system protein
ECB_03558	yidF	CDS	predicted DNA-binding transcriptional regulator
ECB_03559	yidG	CDS	predicted inner membrane protein
ECB_03560	yidH	CDS	conserved inner membrane protein
ECB_03561	yidI	CDS	predicted inner membrane protein
ECB_03562	yidJ	CDS	predicted sulfatase/phosphatase
ECB_03563	yidK	CDS	predicted transporter
ECB_03564	yidL	CDS	predicted DNA-binding transcriptional regulator
ECB_03565	glvG	CDS	predicted 6-phospho-beta-glucosidase
ECB_03566	glvBC	CDS	arbutin specific enzyme IIBC component of PTS
ECB_03568	yidE	CDS	hypothetical protein
ECB_03569	ibpB	CDS	heat shock chaperone
ECB_03570	ibpA	CDS	heat shock chaperone
ECB_03571	yidQ	CDS	conserved outer membrane protein
ECB_03572	yidR	CDS	hypothetical protein
ECB_03573	yidS	CDS	predicted oxidoreductase with FAD/NAD(P)-binding domain
ECB_03574	dgoT	CDS	D-galactonate transporter
ECB_03575	dgoD	CDS	galactonate dehydratase
ECB_03576	dgoA	CDS	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
ECB_03577	dgoK	CDS	2-oxo-3-deoxygalactonate kinase
ECB_03578	dgoR	CDS	predicted DNA-binding transcriptional regulator
ECB_03579	yidX	CDS	predicted lipoproteinC
ECB_03580	yidA	CDS	predicted hydrolase
ECB_03581	yidB	CDS	hypothetical protein
ECB_03582	gyrB	CDS	DNA gyrase subunit B
ECB_03583	recF	CDS	recombination protein F
ECB_03584	dnaN	CDS	DNA polymerase III subunit beta
ECB_03585	dnaA	CDS	chromosomal replication initiation protein
ECB_03586	rpmH	CDS	50S ribosomal protein L34
ECB_03587	rnpA	CDS	ribonuclease P
ECB_03588	yidD	CDS	hypothetical protein
ECB_03589	yidC	CDS	inner membrane protein translocase component YidC
ECB_03590	trmE	CDS	tRNA modification GTPase
ECB_03591	tnaL	CDS	tryptophanase leader peptide
ECB_03592	tnaA	CDS	tryptophanase/L-cysteine desulfhydrase, PLP-dependent
ECB_03593	tnaB	CDS	tryptophan transporter of low affinity
ECB_03594	yidY	CDS	multidrug efflux system protein
ECB_03595	yidZ	CDS	predicted DNA-binding transcriptional regulator
ECB_03596	yieE	CDS	predicted phosphopantetheinyl transferase
ECB_03597	yieF	CDS	chromate reductase, Class I, flavoprotein
ECB_03598	yieG	CDS	predicted inner membrane protein
ECB_03599	yieH	CDS	predicted hydrolase
ECB_03600	yieI	CDS	predicted inner membrane protein
ECB_03601	yieJ	CDS	hypothetical protein
ECB_03602	yieK	CDS	hypothetical protein
ECB_03603	yieL	CDS	predicted xylanase
ECB_03604	yieC	CDS	carbohydrate-specific outer membrane porin, cryptic
ECB_03605	bglB	CDS	cryptic phospho-beta-glucosidase B
ECB_03606	bglF	CDS	fused beta-glucoside-specific PTS enzymes: IIA component/IIB component/IIC component
ECB_03607	bglG	CDS	transcriptional antiterminator of the bgl operon
ECB_03608	phoU	CDS	negative regulator of PhoR/PhoB two-component regulator
ECB_03609	pstB	CDS	phosphate transporter subunit
ECB_03610	pstA	CDS	phosphate transporter subunit
ECB_03611	pstC	CDS	phosphate transporter subunit
ECB_03612	pstS	CDS	phosphate transporter subunit
ECB_03613	glmS	CDS	D-fructose-6-phosphate amidotransferase
ECB_03614	glmU	CDS	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
ECB_03615	atpC	CDS	F0F1 ATP synthase subunit epsilon
ECB_03616	atpD	CDS	F0F1 ATP synthase subunit beta
ECB_03617	atpG	CDS	F0F1 ATP synthase subunit gamma
ECB_03618	atpA	CDS	F0F1 ATP synthase subunit alpha
ECB_03619	atpH	CDS	F0F1 ATP synthase subunit delta
ECB_03620	atpF	CDS	F0F1 ATP synthase subunit B
ECB_03621	atpE	CDS	F0F1 ATP synthase subunit C
ECB_03622	atpB	CDS	F0F1 ATP synthase subunit A
ECB_03623	atpI	CDS	F0F1 ATP synthase subunit I
ECB_03625	gidA	CDS	glucose-inhibited division protein A
ECB_03626	mioC	CDS	flavodoxin
ECB_03627	asnC	CDS	DNA-binding transcriptional dual regulator
ECB_03628	asnA	CDS	asparagine synthetase AsnA
ECB_03629	yieM	CDS	predicted von Willibrand factor containing protein
ECB_03630	yieN	CDS	fused predicted transcriptional regulator: sigma54 activator protein/conserved hypothetical protein
ECB_03631	kup	CDS	potassium transporter
ECB_03632	insJ-5	CDS	IS150 hypothetical protein
ECB_03633	insK-5	CDS	IS150 putative transposase
ECB_03634	rbsD	CDS	predicted cytoplasmic sugar-binding protein
ECB_03635	rbsA	CDS	fused D-ribose transporter subunits of ABC superfamily: ATP-binding components
ECB_03636	rbsC	CDS	ribose ABC transporter permease protein
ECB_03637	rbsB	CDS	D-ribose transporter subunit
ECB_03638	rbsK	CDS	ribokinase
ECB_03639	rbsR	CDS	DNA-binding transcriptional repressor of ribose metabolism
ECB_03640	yieO	CDS	predicted multidrug or homocysteine efflux system
ECB_03641	yieP	CDS	predicted transcriptional regulator
ECB_03642	hdfR	CDS	transcriptional regulator HdfR
ECB_03643	yifE	CDS	hypothetical protein
ECB_03644	yifB	CDS	predicted bifunctional enzyme and transcriptional regulator
ECB_03645	ilvL	CDS	ilvG operon leader peptide
ECB_03646	ilvG	CDS	acetolactate synthase II, valine insensitive, large subunit
ECB_03647	ilvM	CDS	acetolactate synthase II, small subunit
ECB_03648	ilvE	CDS	branched-chain amino acid aminotransferase
ECB_03649	ilvD	CDS	dihydroxy-acid dehydratase
ECB_03650	ilvA	CDS	threonine dehydratase
ECB_03651	ilvY	CDS	DNA-binding transcriptional dual regulator
ECB_03652	ilvC	CDS	ketol-acid reductoisomerase
ECB_03653	ppiC	CDS	peptidyl-prolyl cis-trans isomerase C (rotamase C)
ECB_03654		CDS	hypothetical protein
ECB_03656	rep	CDS	DNA helicase and single-stranded DNA-dependent ATPase
ECB_03657	gppA	CDS	guanosine pentaphosphatase/exopolyphosphatase
ECB_03658	rhlB	CDS	ATP-dependent RNA helicase
ECB_03659	trxA	CDS	thioredoxin
ECB_03660	rhoL	CDS	rho operon leader peptide
ECB_03661	rho	CDS	transcription termination factor Rho
ECB_03662	rfe	CDS	UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase
ECB_03663	wzzE	CDS	Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein
ECB_03664	wecB	CDS	UDP-N-acetyl glucosamine-2-epimerase
ECB_03665	wecC	CDS	UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase
ECB_03666	rffG	CDS	dTDP-glucose 4,6-dehydratase
ECB_03667	rffH	CDS	glucose-1-phosphate thymidylyltransferase
ECB_03668	wecD	CDS	TDP-fucosamine acetyltransferase
ECB_03669	wecE	CDS	TDP-4-oxo-6-deoxy-D-glucose transaminase
ECB_03670	wzxE	CDS	O-antigen translocase
ECB_03671	rffT	CDS	4-alpha-L-fucosyltransferase
ECB_03672	wecF	CDS	putative enterobacterial common antigen polymerase
ECB_03673	wecG	CDS	putative UDP-N-acetyl-D-mannosaminuronic acid transferase
ECB_03674	yifK	CDS	predicted transporter
ECB_03675	aslB	CDS	predicted regulator of arylsulfatase activity
ECB_03676	aslA	CDS	acrylsulfatase-like enzyme
ECB_03677	hemY	CDS	predicted protoheme IX synthesis protein
ECB_03678	hemX	CDS	predicted uroporphyrinogen III methylase
ECB_03679	hemD	CDS	uroporphyrinogen-III synthetase
ECB_03680	hemC	CDS	porphobilinogen deaminase
ECB_03681	cyaA	CDS	adenylate cyclase
ECB_03682	cyaY	CDS	frataxin-like protein
ECB_03683	yzcX	CDS	hypothetical protein
ECB_03684	yifL	CDS	predicted lipoprotein
ECB_03685	dapF	CDS	diaminopimelate epimerase
ECB_03686	yigA	CDS	hypothetical protein
ECB_03687	xerC	CDS	site-specific tyrosine recombinase XerC
ECB_03688	yigB	CDS	predicted hydrolase
ECB_03689	uvrD	CDS	DNA-dependent ATPase I and helicase II
ECB_03690		CDS	conserved hypothetical protein
ECB_03691	yigE	CDS	hypothetical protein
ECB_03692	corA	CDS	magnesium/nickel/cobalt transporter
ECB_03693		CDS	conserved hypothetical protein
ECB_03694		CDS	conserved hypothetical protein
ECB_03695		CDS	Magnesium and cobalt transport protein corA
ECB_03696	yigF	CDS	conserved inner membrane protein
ECB_03697	yigG	CDS	predicted inner membrane protein
ECB_03698	rarD	CDS	predicted chloramphenical resistance permease
ECB_03699	yigI	CDS	hypothetical protein
ECB_03700	pldA	CDS	outer membrane phospholipase A
ECB_03701	recQ	CDS	ATP-dependent DNA helicase
ECB_03702	rhtC	CDS	threonine efflux system
ECB_03703	rhtB	CDS	neutral amino-acid efflux system
ECB_03704	pldB	CDS	lysophospholipase L(2)
ECB_03705	yigL	CDS	predicted hydrolase
ECB_03706	yigM	CDS	predicted inner membrane protein
ECB_03707	metR	CDS	DNA-binding transcriptional activator, homocysteine-binding
ECB_03708	metE	CDS	5-methyltetrahydropteroyltriglutamate- homocysteine methyltransferase
ECB_03709		CDS	putative conserved hypothetical protein
ECB_03710		CDS	putative permease
ECB_03711		CDS	conserved hypothetical protein
ECB_03712		CDS	Carbamate kinase-like protein yahI
ECB_03713		CDS	conserved hypothetical protein
ECB_03714		CDS	conserved hypothetical protein
ECB_03715		CDS	conserved hypothetical protein
ECB_03716		CDS	conserved hypothetical protein
ECB_03717	ysgA	CDS	predicted hydrolase
ECB_03718	udp	CDS	uridine phosphorylase
ECB_03719		CDS	conserved hypothetical protein
ECB_03720		CDS	conserved hypothetical protein
ECB_03721		CDS	conserved hypothetical protein
ECB_03722		CDS	putative conserved hypothetical protein
ECB_03723		CDS	putative conserved hypothetical protein
ECB_03724		CDS	putative transcriptional regulator
ECB_03725	yigN	CDS	predicted recombination limiting protein
ECB_03726	ubiE	CDS	ubiquinone/menaquinone biosynthesis methyltransferase
ECB_03727	yigP	CDS	hypothetical protein
ECB_03728	ubiB	CDS	putative ubiquinone biosynthesis protein UbiB
ECB_03729	tatA	CDS	twin argininte translocase protein A
ECB_03730	tatB	CDS	sec-independent translocase
ECB_03731	tatC	CDS	TatABCE protein translocation system subunit
ECB_03732	tatD	CDS	DNase, magnesium-dependent
ECB_03733	rfaH	CDS	transcriptional activator RfaH
ECB_03734	ubiD	CDS	3-octaprenyl-4-hydroxybenzoate decarboxylase
ECB_03735	fre	CDS	NAD(P)H-flavin reductase
ECB_03736	fadA	CDS	acetyl-CoA acetyltransferase
ECB_03737	fadB	CDS	fused 3-hydroxybutyryl-CoA epimerase/delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase/enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase
ECB_03738	pepQ	CDS	proline dipeptidase
ECB_03739	yigZ	CDS	predicted elongation factor
ECB_03740	trkH	CDS	potassium transporter
ECB_03741	hemG	CDS	protoporphyrin oxidase, flavoprotein
ECB_03742	mobB	CDS	molybdopterin-guanine dinucleotide biosynthesis protein B
ECB_03743	mobA	CDS	molybdopterin-guanine dinucleotide biosynthesis protein A
ECB_03744	yihD	CDS	hypothetical protein
ECB_03745	yihE	CDS	predicted kinase
ECB_03746	dsbA	CDS	periplasmic protein disulfide isomerase I
ECB_03747	yihF	CDS	hypothetical protein
ECB_03748	yihG	CDS	predicted endonuclease
ECB_03749	polA	CDS	DNA polymerase I
ECB_03750	yihA	CDS	GTP-binding protein
ECB_03751	yihI	CDS	hypothetical protein
ECB_03752	hemN	CDS	coproporphyrinogen III oxidase
ECB_03753	glnG	CDS	fused DNA-binding response regulator in two-component regulatory system with GlnL: response regulator/sigma54 interaction protein
ECB_03754	glnL	CDS	sensory histidine kinase in two-component regulatory system with GlnG
ECB_03755	glnA	CDS	glutamine synthetase
ECB_03756	bipA	CDS	GTP-binding protein
ECB_03757	yihL	CDS	predicted DNA-binding transcriptional regulator
ECB_03758	yihM	CDS	predicted sugar phosphate isomerase
ECB_03759	yihN	CDS	predicted transporter
ECB_03760	yshA	CDS	predicted outer membrane porin L
ECB_03761	yihO	CDS	predicted transporter
ECB_03762	yihP	CDS	predicted transporter
ECB_03763	yihQ	CDS	alpha-glucosidase
ECB_03764	yihR	CDS	predicted aldose-1-epimerase
ECB_03765	yihS	CDS	predicted glucosamine isomerase
ECB_03766	yihT	CDS	predicted aldolase
ECB_03767	yihU	CDS	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain
ECB_03768	yihV	CDS	predicted sugar kinase
ECB_03769	yihW	CDS	predicted DNA-binding transcriptional regulator
ECB_03770	yihX	CDS	phosphatase
ECB_03771	rbn	CDS	ribonuclease BN
ECB_03772	dtd	CDS	D-tyrosyl-tRNA deacylase
ECB_03774	yiiE	CDS	predicted transcriptional regulator
ECB_03775	yiiF	CDS	hypothetical protein
ECB_03776	fdhE	CDS	formate dehydrogenase accessory protein FdhE
ECB_03777	fdoI	CDS	formate dehydrogenase-O, cytochrome b556 subunit
ECB_03778	fdoH	CDS	formate dehydrogenase-O, Fe-S subunit
ECB_03779	fdoG	CDS	formate dehydrogenase-O, major subunit
ECB_03780	fdhD	CDS	formate dehydrogenase accessory protein
ECB_03781	yiiG	CDS	hypothetical protein
ECB_03782	frvR	CDS	predicted regulator
ECB_03783	frvX	CDS	predicted endo-1,4-beta-glucanase
ECB_03784	frvB	CDS	fused predicted PTS enzymes: IIB component/IIC component
ECB_03785	frvA	CDS	predicted enzyme IIA component of PTS
ECB_03786		CDS	putative glycoporin
ECB_03787	yiiL	CDS	L-rhamnose mutarotase
ECB_03788	rhaD	CDS	rhamnulose-1-phosphate aldolase
ECB_03789	rhaA	CDS	L-rhamnose isomerase
ECB_03790	rhaB	CDS	rhamnulokinase
ECB_03791	rhaS	CDS	DNA-binding transcriptional activator, L-rhamnose-binding
ECB_03792	rhaR	CDS	DNA-binding transcriptional activator, L-rhamnose-binding
ECB_03793	rhaT	CDS	L-rhamnose:proton symporter
ECB_03794	sodA	CDS	superoxide dismutase, Mn
ECB_03795	kdgT	CDS	2-keto-3-deoxygluconate permease
ECB_03796	yiiM	CDS	hypothetical protein
ECB_03797	cpxA	CDS	two-component sensor protein
ECB_03798	cpxR	CDS	DNA-binding response regulator in two-component regulatory system with CpxA
ECB_03799	cpxP	CDS	periplasmic protein combats stress
ECB_03800	fieF	CDS	ferrous iron efflux protein F
ECB_03801	pfkA	CDS	6-phosphofructokinase
ECB_03802	sbp	CDS	sulfate transporter subunit
ECB_03803	cdh	CDS	CDP-diacylglycerol pyrophosphatase
ECB_03804	tpiA	CDS	triosephosphate isomerase
ECB_03805	yiiQ	CDS	hypothetical protein
ECB_03806	yiiR	CDS	conserved inner membrane protein
ECB_03807	yiiS	CDS	hypothetical protein
ECB_03808	yiiT	CDS	stress-induced protein
